OD ID,Origin,Destination,HDV Demand,EV Demand
3->54,3,54,0.0,0.0
3->55,3,55,0.0,0.0
3->56,3,56,0.0,0.0
3->57,3,57,0.0,0.0
3->58,3,58,0.0,0.0
3->59,3,59,0.0,0.0
3->60,3,60,0.0,0.0
3->61,3,61,0.0,0.0
3->62,3,62,0.0,0.0
3->63,3,63,0.0,0.0
3->64,3,64,0.0,0.0
3->65,3,65,0.0,0.0
3->66,3,66,0.0,0.0
3->67,3,67,0.0,0.0
3->68,3,68,0.0,0.0
3->69,3,69,0.0,0.0
3->70,3,70,0.0,0.0
3->71,3,71,0.0,0.0
3->72,3,72,0.0,0.0
3->73,3,73,0.0,0.0
3->74,3,74,0.0,0.0
4->4,4,4,0.0,0.0
4->1,4,1,0.0,0.0
4->2,4,2,0.0,0.0
4->3,4,3,0.0,0.0
4->5,4,5,0.0,0.0
4->6,4,6,0.0,0.0
4->7,4,7,0.0,0.0
4->8,4,8,0.0,0.0
4->9,4,9,0.0,0.0
4->10,4,10,0.0,0.0
4->11,4,11,0.0,0.0
4->12,4,12,0.0,0.0
4->13,4,13,0.0,0.0
4->14,4,14,0.0,0.0
4->15,4,15,0.0,0.0
4->16,4,16,0.0,0.0
4->17,4,17,0.0,0.0
4->18,4,18,0.0,0.0
4->19,4,19,0.0,0.0
4->20,4,20,0.0,0.0
4->21,4,21,0.0,0.0
4->22,4,22,0.0,0.0
4->23,4,23,0.0,0.0
4->24,4,24,0.0,0.0
4->25,4,25,0.0,0.0
4->26,4,26,0.0,0.0
4->27,4,27,0.0,0.0
4->28,4,28,0.0,0.0
4->29,4,29,0.0,0.0
4->30,4,30,0.0,0.0
4->31,4,31,0.0,0.0
4->32,4,32,0.0,0.0
4->33,4,33,0.0,0.0
4->34,4,34,0.0,0.0
4->35,4,35,0.0,0.0
4->36,4,36,0.0,0.0
4->37,4,37,0.0,0.0
4->38,4,38,0.0,0.0
4->39,4,39,0.0,0.0
4->40,4,40,0.0,0.0
4->41,4,41,0.0,0.0
4->42,4,42,0.0,0.0
4->43,4,43,0.0,0.0
4->44,4,44,0.0,0.0
4->45,4,45,0.0,0.0
4->46,4,46,0.0,0.0
4->47,4,47,0.0,0.0
4->48,4,48,0.0,0.0
4->49,4,49,0.0,0.0
4->50,4,50,0.0,0.0
4->51,4,51,0.0,0.0
4->52,4,52,0.0,0.0
4->53,4,53,0.0,0.0
4->54,4,54,0.0,0.0
4->55,4,55,0.0,0.0
4->56,4,56,0.0,0.0
4->57,4,57,0.0,0.0
4->58,4,58,0.0,0.0
4->59,4,59,0.0,0.0
4->60,4,60,0.0,0.0
4->61,4,61,0.0,0.0
4->62,4,62,0.0,0.0
4->63,4,63,0.0,0.0
4->64,4,64,0.0,0.0
4->65,4,65,0.0,0.0
4->66,4,66,0.0,0.0
4->67,4,67,0.0,0.0
4->68,4,68,0.0,0.0
4->69,4,69,0.0,0.0
4->70,4,70,0.0,0.0
4->71,4,71,0.0,0.0
4->72,4,72,0.0,0.0
4->73,4,73,0.0,0.0
4->74,4,74,0.0,0.0
5->5,5,5,0.0,0.0
5->1,5,1,0.0,0.0
5->2,5,2,0.0,0.0
5->3,5,3,0.0,0.0
5->4,5,4,0.0,0.0
5->6,5,6,0.0,0.0
5->7,5,7,0.0,0.0
5->8,5,8,0.0,0.0
5->9,5,9,0.0,0.0
5->10,5,10,0.0,0.0
5->11,5,11,0.0,0.0
5->12,5,12,0.0,0.0
5->13,5,13,0.0,0.0
5->14,5,14,0.0,0.0
5->15,5,15,0.0,0.0
5->16,5,16,0.0,0.0
5->17,5,17,0.0,0.0
5->18,5,18,0.0,0.0
5->19,5,19,0.0,0.0
5->20,5,20,0.0,0.0
5->21,5,21,0.0,0.0
5->22,5,22,0.0,0.0
5->23,5,23,0.0,0.0
5->24,5,24,0.0,0.0
5->25,5,25,0.0,0.0
5->26,5,26,0.0,0.0
5->27,5,27,0.0,0.0
5->28,5,28,0.0,0.0
5->29,5,29,0.0,0.0
5->30,5,30,0.0,0.0
5->31,5,31,0.0,0.0
5->32,5,32,0.0,0.0
5->33,5,33,0.0,0.0
5->34,5,34,0.0,0.0
5->35,5,35,0.0,0.0
5->36,5,36,0.0,0.0
5->37,5,37,0.0,0.0
5->38,5,38,0.0,0.0
5->39,5,39,0.0,0.0
5->40,5,40,0.0,0.0
5->41,5,41,0.0,0.0
5->42,5,42,0.0,0.0
5->43,5,43,0.0,0.0
5->44,5,44,0.0,0.0
5->45,5,45,0.0,0.0
5->46,5,46,0.0,0.0
5->47,5,47,0.0,0.0
5->48,5,48,0.0,0.0
5->49,5,49,0.0,0.0
5->50,5,50,0.0,0.0
5->51,5,51,0.0,0.0
5->52,5,52,0.0,0.0
5->53,5,53,0.0,0.0
5->54,5,54,0.0,0.0
5->55,5,55,0.0,0.0
5->56,5,56,0.0,0.0
5->57,5,57,0.0,0.0
5->58,5,58,0.0,0.0
5->59,5,59,0.0,0.0
5->60,5,60,0.0,0.0
5->61,5,61,0.0,0.0
5->62,5,62,0.0,0.0
5->63,5,63,0.0,0.0
5->64,5,64,0.0,0.0
5->65,5,65,0.0,0.0
5->66,5,66,0.0,0.0
5->67,5,67,0.0,0.0
5->68,5,68,0.0,0.0
5->69,5,69,0.0,0.0
5->70,5,70,0.0,0.0
5->71,5,71,0.0,0.0
5->72,5,72,0.0,0.0
5->73,5,73,0.0,0.0
5->74,5,74,0.0,0.0
6->6,6,6,0.0,0.0
6->1,6,1,56.935997,0.0
6->2,6,2,320.643351,0.0
6->3,6,3,329.230351,0.0
6->4,6,4,0.0,0.0
6->5,6,5,0.0,0.0
6->7,6,7,0.0,0.0
6->8,6,8,0.0,0.0
6->9,6,9,0.0,0.0
6->10,6,10,957.700233,0.0
6->11,6,11,0.0,0.0
6->12,6,12,0.0,0.0
6->13,6,13,136.941407,0.0
6->14,6,14,136.941407,0.0
6->15,6,15,0.0,0.0
6->16,6,16,181.417875,0.0
6->17,6,17,181.417875,0.0
6->18,6,18,181.417875,0.0
6->19,6,19,0.0,0.0
6->20,6,20,0.0,0.0
6->21,6,21,54.322955,0.0
6->22,6,22,64.777032,0.0
6->23,6,23,0.0,0.0
6->24,6,24,0.0,0.0
6->25,6,25,0.0,0.0
6->26,6,26,0.0,0.0
6->27,6,27,0.0,0.0
6->28,6,28,0.0,0.0
6->29,6,29,60.697739,0.0
6->30,6,30,0.0,0.0
6->31,6,31,0.0,0.0
6->32,6,32,0.0,0.0
6->33,6,33,0.0,0.0
6->34,6,34,0.0,0.0
6->35,6,35,0.0,0.0
6->36,6,36,0.0,0.0
6->37,6,37,30.94704,0.0
6->38,6,38,30.94704,0.0
6->39,6,39,30.94704,0.0
6->40,6,40,30.94704,0.0
6->41,6,41,0.0,0.0
6->42,6,42,32.851189,0.0
6->43,6,43,0.0,0.0
6->44,6,44,0.0,0.0
6->45,6,45,0.0,0.0
6->46,6,46,0.0,0.0
6->47,6,47,0.0,0.0
6->48,6,48,20.758405,0.0
6->49,6,49,10.05071,0.0
6->50,6,50,11.007453,0.0
6->51,6,51,11.007453,0.0
6->52,6,52,4.830574,0.0
6->53,6,53,4.854254,0.0
6->54,6,54,0.0,0.0
6->55,6,55,0.0,0.0
6->56,6,56,0.0,0.0
6->57,6,57,0.0,0.0
6->58,6,58,0.0,0.0
6->59,6,59,0.0,0.0
6->60,6,60,0.0,0.0
6->61,6,61,0.0,0.0
6->62,6,62,0.0,0.0
6->63,6,63,0.0,0.0
6->64,6,64,0.0,0.0
6->65,6,65,0.0,0.0
6->66,6,66,0.0,0.0
6->67,6,67,0.0,0.0
6->68,6,68,0.0,0.0
6->69,6,69,0.0,0.0
6->70,6,70,0.0,0.0
6->71,6,71,0.0,0.0
6->72,6,72,0.0,0.0
6->73,6,73,0.0,0.0
6->74,6,74,0.0,0.0
7->7,7,7,0.0,0.0
7->1,7,1,724.768919,0.0
7->2,7,2,0.0,0.0
7->3,7,3,0.0,0.0
7->4,7,4,0.0,0.0
7->5,7,5,0.0,0.0
7->6,7,6,0.0,0.0
7->8,7,8,0.0,0.0
7->9,7,9,0.0,0.0
7->10,7,10,0.0,0.0
7->11,7,11,0.0,0.0
7->12,7,12,0.0,0.0
7->13,7,13,0.0,0.0
7->14,7,14,0.0,0.0
7->15,7,15,0.0,0.0
7->16,7,16,0.0,0.0
7->17,7,17,0.0,0.0
7->18,7,18,0.0,0.0
7->19,7,19,0.0,0.0
7->20,7,20,0.0,0.0
7->21,7,21,0.0,0.0
7->22,7,22,0.0,0.0
7->23,7,23,0.0,0.0
7->24,7,24,0.0,0.0
7->25,7,25,0.0,0.0
7->26,7,26,0.0,0.0
7->27,7,27,0.0,0.0
7->28,7,28,0.0,0.0
7->29,7,29,0.0,0.0
7->30,7,30,0.0,0.0
7->31,7,31,0.0,0.0
7->32,7,32,0.0,0.0
7->33,7,33,0.0,0.0
7->34,7,34,0.0,0.0
7->35,7,35,0.0,0.0
7->36,7,36,0.0,0.0
7->37,7,37,0.0,0.0
7->38,7,38,0.0,0.0
7->39,7,39,0.0,0.0
7->40,7,40,0.0,0.0
7->41,7,41,0.0,0.0
7->42,7,42,0.0,0.0
7->43,7,43,0.0,0.0
7->44,7,44,0.0,0.0
7->45,7,45,0.0,0.0
7->46,7,46,0.0,0.0
7->47,7,47,0.0,0.0
7->48,7,48,0.0,0.0
7->49,7,49,0.0,0.0
7->50,7,50,0.0,0.0
7->51,7,51,0.0,0.0
7->52,7,52,0.0,0.0
7->53,7,53,0.0,0.0
7->54,7,54,0.0,0.0
7->55,7,55,0.0,0.0
7->56,7,56,0.0,0.0
7->57,7,57,0.0,0.0
7->58,7,58,0.0,0.0
7->59,7,59,0.0,0.0
7->60,7,60,0.0,0.0
7->61,7,61,0.0,0.0
7->62,7,62,0.0,0.0
7->63,7,63,0.0,0.0
7->64,7,64,0.0,0.0
7->65,7,65,0.0,0.0
7->66,7,66,0.0,0.0
7->67,7,67,0.0,0.0
7->68,7,68,0.0,0.0
7->69,7,69,0.0,0.0
7->70,7,70,0.0,0.0
7->71,7,71,0.0,0.0
7->72,7,72,0.0,0.0
7->73,7,73,0.0,0.0
7->74,7,74,0.0,0.0
8->8,8,8,0.0,0.0
8->1,8,1,0.0,0.0
8->2,8,2,0.0,0.0
8->3,8,3,0.0,0.0
8->4,8,4,0.0,0.0
8->5,8,5,0.0,0.0
8->6,8,6,0.0,0.0
8->7,8,7,0.0,0.0
8->9,8,9,0.0,0.0
8->10,8,10,0.0,0.0
8->11,8,11,0.0,0.0
8->12,8,12,0.0,0.0
8->13,8,13,0.0,0.0
8->14,8,14,0.0,0.0
8->15,8,15,0.0,0.0
8->16,8,16,0.0,0.0
8->17,8,17,0.0,0.0
8->18,8,18,0.0,0.0
8->19,8,19,0.0,0.0
8->20,8,20,0.0,0.0
8->21,8,21,0.0,0.0
8->22,8,22,0.0,0.0
8->23,8,23,0.0,0.0
8->24,8,24,0.0,0.0
8->25,8,25,0.0,0.0
8->26,8,26,0.0,0.0
8->27,8,27,0.0,0.0
8->28,8,28,0.0,0.0
8->29,8,29,0.0,0.0
8->30,8,30,0.0,0.0
8->31,8,31,0.0,0.0
8->32,8,32,0.0,0.0
8->33,8,33,0.0,0.0
8->34,8,34,0.0,0.0
8->35,8,35,0.0,0.0
8->36,8,36,0.0,0.0
8->37,8,37,0.0,0.0
8->38,8,38,0.0,0.0
8->39,8,39,0.0,0.0
8->40,8,40,0.0,0.0
8->41,8,41,0.0,0.0
8->42,8,42,0.0,0.0
8->43,8,43,0.0,0.0
8->44,8,44,0.0,0.0
8->45,8,45,0.0,0.0
8->46,8,46,0.0,0.0
8->47,8,47,0.0,0.0
8->48,8,48,0.0,0.0
8->49,8,49,0.0,0.0
8->50,8,50,0.0,0.0
8->51,8,51,0.0,0.0
8->52,8,52,0.0,0.0
8->53,8,53,0.0,0.0
8->54,8,54,0.0,0.0
8->55,8,55,0.0,0.0
8->56,8,56,0.0,0.0
8->57,8,57,0.0,0.0
8->58,8,58,0.0,0.0
8->59,8,59,0.0,0.0
8->60,8,60,0.0,0.0
8->61,8,61,0.0,0.0
8->62,8,62,0.0,0.0
8->63,8,63,0.0,0.0
8->64,8,64,0.0,0.0
8->65,8,65,0.0,0.0
8->66,8,66,0.0,0.0
8->67,8,67,0.0,0.0
8->68,8,68,0.0,0.0
8->69,8,69,0.0,0.0
8->70,8,70,0.0,0.0
8->71,8,71,0.0,0.0
8->72,8,72,0.0,0.0
8->73,8,73,0.0,0.0
8->74,8,74,0.0,0.0
9->9,9,9,0.0,0.0
9->1,9,1,0.0,0.0
9->2,9,2,0.0,0.0
9->3,9,3,0.0,0.0
9->4,9,4,0.0,0.0
9->5,9,5,0.0,0.0
9->6,9,6,0.0,0.0
9->7,9,7,0.0,0.0
9->8,9,8,0.0,0.0
9->10,9,10,0.0,0.0
9->11,9,11,0.0,0.0
9->12,9,12,0.0,0.0
9->13,9,13,0.0,0.0
9->14,9,14,0.0,0.0
9->15,9,15,0.0,0.0
9->16,9,16,0.0,0.0
9->17,9,17,0.0,0.0
9->18,9,18,0.0,0.0
9->19,9,19,0.0,0.0
9->20,9,20,0.0,0.0
9->21,9,21,0.0,0.0
9->22,9,22,0.0,0.0
9->23,9,23,0.0,0.0
9->24,9,24,0.0,0.0
9->25,9,25,0.0,0.0
9->26,9,26,0.0,0.0
9->27,9,27,0.0,0.0
9->28,9,28,0.0,0.0
9->29,9,29,0.0,0.0
9->30,9,30,0.0,0.0
9->31,9,31,0.0,0.0
9->32,9,32,0.0,0.0
9->33,9,33,0.0,0.0
9->34,9,34,0.0,0.0
9->35,9,35,0.0,0.0
9->36,9,36,0.0,0.0
9->37,9,37,0.0,0.0
9->38,9,38,0.0,0.0
9->39,9,39,0.0,0.0
9->40,9,40,0.0,0.0
9->41,9,41,0.0,0.0
9->42,9,42,0.0,0.0
9->43,9,43,0.0,0.0
9->44,9,44,0.0,0.0
9->45,9,45,0.0,0.0
9->46,9,46,0.0,0.0
9->47,9,47,0.0,0.0
9->48,9,48,0.0,0.0
9->49,9,49,0.0,0.0
9->50,9,50,0.0,0.0
9->51,9,51,0.0,0.0
9->52,9,52,0.0,0.0
9->53,9,53,0.0,0.0
9->54,9,54,0.0,0.0
9->55,9,55,0.0,0.0
9->56,9,56,0.0,0.0
9->57,9,57,0.0,0.0
9->58,9,58,0.0,0.0
9->59,9,59,0.0,0.0
9->60,9,60,0.0,0.0
9->61,9,61,0.0,0.0
9->62,9,62,0.0,0.0
9->63,9,63,0.0,0.0
9->64,9,64,0.0,0.0
9->65,9,65,0.0,0.0
9->66,9,66,0.0,0.0
9->67,9,67,0.0,0.0
9->68,9,68,0.0,0.0
9->69,9,69,0.0,0.0
9->70,9,70,0.0,0.0
9->71,9,71,0.0,0.0
9->72,9,72,0.0,0.0
9->73,9,73,0.0,0.0
9->74,9,74,0.0,0.0
10->10,10,10,0.0,0.0
10->1,10,1,4.448323,0.0
10->2,10,2,465.677208,0.0
10->3,10,3,4.605681,0.0
10->4,10,4,0.0,0.0
10->5,10,5,0.0,0.0
10->6,10,6,190.63577,0.0
10->7,10,7,0.0,0.0
10->8,10,8,0.0,0.0
10->9,10,9,0.0,0.0
10->11,10,11,0.0,0.0
10->12,10,12,0.0,0.0
10->13,10,13,4.525612,0.0
10->14,10,14,4.525612,0.0
10->15,10,15,0.0,0.0
10->16,10,16,0.0,0.0
10->17,10,17,0.0,0.0
10->18,10,18,0.0,0.0
10->19,10,19,0.0,0.0
10->20,10,20,0.0,0.0
10->21,10,21,0.0,0.0
10->22,10,22,21.565511,0.0
10->23,10,23,0.0,0.0
10->24,10,24,0.0,0.0
10->25,10,25,0.0,0.0
10->26,10,26,0.0,0.0
10->27,10,27,0.0,0.0
10->28,10,28,0.0,0.0
10->29,10,29,20.731984,0.0
10->30,10,30,0.0,0.0
10->31,10,31,0.0,0.0
10->32,10,32,0.0,0.0
10->33,10,33,0.0,0.0
10->34,10,34,0.0,0.0
10->35,10,35,0.0,0.0
10->36,10,36,0.0,0.0
10->37,10,37,15.86574,0.0
10->38,10,38,15.86574,0.0
10->39,10,39,15.86574,0.0
10->40,10,40,15.86574,0.0
10->41,10,41,0.0,0.0
10->42,10,42,17.17806,0.0
10->43,10,43,0.0,0.0
10->44,10,44,0.0,0.0
10->45,10,45,0.0,0.0
10->46,10,46,0.0,0.0
10->47,10,47,0.0,0.0
10->48,10,48,12.195396,0.0
10->49,10,49,7.651356,0.0
10->50,10,50,8.154251,0.0
10->51,10,51,8.154251,0.0
10->52,10,52,4.284714,0.0
10->53,10,53,4.26372,0.0
10->54,10,54,0.0,0.0
10->55,10,55,0.0,0.0
10->56,10,56,0.0,0.0
10->57,10,57,0.0,0.0
10->58,10,58,0.0,0.0
10->59,10,59,0.0,0.0
10->60,10,60,0.0,0.0
10->61,10,61,0.0,0.0
10->62,10,62,0.0,0.0
10->63,10,63,0.0,0.0
10->64,10,64,0.0,0.0
10->65,10,65,0.0,0.0
10->66,10,66,0.0,0.0
10->67,10,67,0.0,0.0
10->68,10,68,0.0,0.0
10->69,10,69,0.0,0.0
10->70,10,70,0.0,0.0
10->71,10,71,0.0,0.0
10->72,10,72,0.0,0.0
10->73,10,73,0.0,0.0
10->74,10,74,0.0,0.0
11->11,11,11,0.0,0.0
11->1,11,1,0.0,0.0
11->2,11,2,0.0,0.0
11->3,11,3,0.0,0.0
11->4,11,4,0.0,0.0
11->5,11,5,0.0,0.0
11->6,11,6,0.0,0.0
11->7,11,7,0.0,0.0
11->8,11,8,0.0,0.0
11->9,11,9,0.0,0.0
11->10,11,10,0.0,0.0
11->12,11,12,0.0,0.0
11->13,11,13,0.0,0.0
11->14,11,14,0.0,0.0
11->15,11,15,0.0,0.0
11->16,11,16,0.0,0.0
11->17,11,17,0.0,0.0
11->18,11,18,0.0,0.0
11->19,11,19,0.0,0.0
11->20,11,20,0.0,0.0
11->21,11,21,0.0,0.0
11->22,11,22,0.0,0.0
11->23,11,23,0.0,0.0
11->24,11,24,0.0,0.0
11->25,11,25,0.0,0.0
11->26,11,26,0.0,0.0
11->27,11,27,0.0,0.0
11->28,11,28,0.0,0.0
11->29,11,29,0.0,0.0
11->30,11,30,0.0,0.0
11->31,11,31,0.0,0.0
11->32,11,32,0.0,0.0
11->33,11,33,0.0,0.0
11->34,11,34,0.0,0.0
11->35,11,35,0.0,0.0
11->36,11,36,0.0,0.0
11->37,11,37,0.0,0.0
11->38,11,38,0.0,0.0
11->39,11,39,0.0,0.0
11->40,11,40,0.0,0.0
11->41,11,41,0.0,0.0
11->42,11,42,0.0,0.0
11->43,11,43,0.0,0.0
11->44,11,44,0.0,0.0
11->45,11,45,0.0,0.0
11->46,11,46,0.0,0.0
11->47,11,47,0.0,0.0
11->48,11,48,0.0,0.0
11->49,11,49,0.0,0.0
11->50,11,50,0.0,0.0
11->51,11,51,0.0,0.0
11->52,11,52,0.0,0.0
11->53,11,53,0.0,0.0
11->54,11,54,0.0,0.0
11->55,11,55,0.0,0.0
11->56,11,56,0.0,0.0
11->57,11,57,0.0,0.0
11->58,11,58,0.0,0.0
11->59,11,59,0.0,0.0
11->60,11,60,0.0,0.0
11->61,11,61,0.0,0.0
11->62,11,62,0.0,0.0
11->63,11,63,0.0,0.0
11->64,11,64,0.0,0.0
11->65,11,65,0.0,0.0
11->66,11,66,0.0,0.0
11->67,11,67,0.0,0.0
11->68,11,68,0.0,0.0
11->69,11,69,0.0,0.0
11->70,11,70,0.0,0.0
11->71,11,71,0.0,0.0
11->72,11,72,0.0,0.0
11->73,11,73,0.0,0.0
11->74,11,74,0.0,0.0
12->12,12,12,0.0,0.0
12->1,12,1,35.255907,0.0
12->2,12,2,0.0,0.0
12->3,12,3,123.040888,0.0
12->4,12,4,0.0,0.0
12->5,12,5,0.0,0.0
12->6,12,6,0.0,0.0
12->7,12,7,0.0,0.0
12->8,12,8,0.0,0.0
12->9,12,9,0.0,0.0
12->10,12,10,0.0,0.0
12->11,12,11,0.0,0.0
12->13,12,13,0.0,0.0
12->14,12,14,0.0,0.0
12->15,12,15,0.0,0.0
12->16,12,16,0.0,0.0
12->17,12,17,0.0,0.0
12->18,12,18,0.0,0.0
12->19,12,19,0.0,0.0
12->20,12,20,0.0,0.0
12->21,12,21,0.0,0.0
12->22,12,22,0.0,0.0
12->23,12,23,0.0,0.0
12->24,12,24,0.0,0.0
12->25,12,25,0.0,0.0
12->26,12,26,0.0,0.0
12->27,12,27,0.0,0.0
12->28,12,28,0.0,0.0
12->29,12,29,0.0,0.0
12->30,12,30,0.0,0.0
12->31,12,31,0.0,0.0
12->32,12,32,0.0,0.0
12->33,12,33,0.0,0.0
12->34,12,34,0.0,0.0
12->35,12,35,0.0,0.0
12->36,12,36,0.0,0.0
12->37,12,37,0.0,0.0
12->38,12,38,0.0,0.0
12->39,12,39,0.0,0.0
12->40,12,40,0.0,0.0
12->41,12,41,0.0,0.0
12->42,12,42,0.0,0.0
12->43,12,43,0.0,0.0
12->44,12,44,0.0,0.0
12->45,12,45,0.0,0.0
12->46,12,46,0.0,0.0
12->47,12,47,0.0,0.0
12->48,12,48,0.0,0.0
12->49,12,49,0.0,0.0
12->50,12,50,0.0,0.0
12->51,12,51,0.0,0.0
12->52,12,52,0.0,0.0
